13:29-19/03/26 | SESION | Inicio del programa
13:30-19/03/26 | SESION | Fin del programa
13:44-19/03/26 | SESION | Inicio del programa
13:44-19/03/26 | ERROR | Error al crear categoría
13:44-19/03/26 | SESION | Fin del programa
13:45-19/03/26 | SESION | Inicio del programa
13:45-19/03/26 | ERROR | Error al crear categoría
13:45-19/03/26 | ERROR | Error al crear categoría
14:26-19/03/26 | SESION | Inicio del programa
14:27-19/03/26 | ERROR | Error al crear categoría
14:27-19/03/26 | SESION | Fin del programa
14:31-19/03/26 | SESION | Inicio del programa
14:31-19/03/26 | CATEGORIA | Categoría creada
14:32-19/03/26 | CATEGORIA | Categoría creada
14:32-19/03/26 | ERROR | Error al crear marca
14:32-19/03/26 | SESION | Fin del programa
14:33-19/03/26 | SESION | Inicio del programa
14:33-19/03/26 | CATEGORIA | Categoría creada
14:33-19/03/26 | SESION | Fin del programa
14:39-19/03/26 | SESION | Inicio del programa
14:39-19/03/26 | CATEGORIA | Categoría creada
14:39-19/03/26 | SESION | Fin del programa
14:40-19/03/26 | SESION | Inicio del programa
14:41-19/03/26 | CATEGORIA | Categoría creada
14:41-19/03/26 | SESION | Fin del programa
